companyID,candleTime,closePrice,MaxCandleTime,Close,maxProfit,Name
37,"2015-01-01 13:15:00",339.20,"2015-01-01 15:15:00",340.00,0.80,INFRATEL
38,"2015-08-25 14:15:00",1093.10,"2015-08-25 14:30:00",1092.90,-0.20,INFY
39,"2016-10-06 11:45:00",328.53,"2016-10-06 12:15:00",330.08,1.55,IOC
39,"2016-11-09 11:00:00",306.50,"2016-11-09 15:15:00",317.10,10.60,IOC
39,"2016-11-09 11:15:00",306.80,"2016-11-09 15:15:00",317.10,10.30,IOC
39,"2016-05-27 11:30:00",211.30,"2016-05-27 14:30:00",215.43,4.13,IOC
39,"2015-03-31 11:00:00",186.95,"2015-03-31 11:15:00",186.48,-0.47,IOC
39,"2015-04-08 10:15:00",191.48,"2015-04-08 13:45:00",191.05,-0.43,IOC
39,"2015-03-02 11:15:00",175.50,"2015-03-02 13:00:00",177.50,2.00,IOC
40,"2017-05-29 09:45:00",318.20,"2017-05-29 14:00:00",318.40,0.20,ITC
41,"2017-08-11 11:15:00",225.30,"2017-08-11 11:30:00",225.55,0.25,JSWSTEEL
41,"2017-04-19 10:15:00",191.40,"2017-04-19 11:00:00",191.55,0.15,JSWSTEEL
41,"2017-02-01 14:45:00",198.60,"2017-02-01 15:00:00",197.90,-0.70,JSWSTEEL
41,"2016-11-09 13:00:00",165.96,"2016-11-09 13:45:00",168.62,2.66,JSWSTEEL
41,"2016-11-09 14:45:00",167.85,"2016-11-09 15:00:00",168.16,0.31,JSWSTEEL
41,"2016-02-12 15:00:00",100.60,"2016-02-12 15:15:00",101.10,0.50,JSWSTEEL
41,"2015-04-09 14:00:00",95.57,"2015-04-09 15:15:00",95.88,0.31,JSWSTEEL
41,"2015-05-18 10:45:00",89.76,"2015-05-18 15:15:00",91.28,1.52,JSWSTEEL
42,"2017-01-11 13:15:00",730.45,"2017-01-11 14:15:00",732.30,1.85,KOTAKBANK
42,"2017-01-25 14:15:00",796.40,"2017-01-25 14:30:00",796.50,0.10,KOTAKBANK
42,"2016-11-09 13:45:00",807.05,"2016-11-09 15:15:00",823.95,16.90,KOTAKBANK
43,"2018-01-22 14:00:00",176.90,"2018-01-22 15:15:00",178.25,1.35,L&TFH
43,"2018-02-02 11:15:00",162.20,"2018-02-02 11:45:00",164.25,2.05,L&TFH
43,"2017-09-15 14:15:00",208.65,"2017-09-15 14:30:00",208.10,-0.55,L&TFH
43,"2017-10-26 11:30:00",199.60,"2017-10-26 12:45:00",201.60,2.00,L&TFH
43,"2017-05-02 13:45:00",133.10,"2017-05-02 15:15:00",134.30,1.20,L&TFH
43,"2016-09-30 12:45:00",89.95,"2016-09-30 14:45:00",92.25,2.30,L&TFH
43,"2016-11-09 14:15:00",101.45,"2016-11-09 14:30:00",101.20,-0.25,L&TFH
43,"2016-06-24 14:00:00",73.25,"2016-06-24 15:00:00",73.05,-0.20,L&TFH
43,"2016-08-12 11:45:00",92.10,"2016-08-12 12:00:00",91.90,-0.20,L&TFH
43,"2016-03-22 14:30:00",63.35,"2016-03-22 15:00:00",63.30,-0.05,L&TFH
43,"2015-08-25 12:45:00",61.00,"2015-08-25 15:15:00",61.80,0.80,L&TFH
44,"2016-11-09 11:30:00",905.33,"2016-11-09 14:30:00",931.80,26.47,LT
44,"2016-02-12 15:00:00",705.70,"2016-02-12 15:15:00",700.00,-5.70,LT
44,"2016-02-17 11:30:00",746.00,"2016-02-17 12:00:00",753.93,7.93,LT
44,"2016-02-17 12:45:00",747.33,"2016-02-17 15:15:00",749.97,2.64,LT
44,"2015-02-10 11:30:00",1070.53,"2015-02-10 11:45:00",1061.33,-9.20,LT
