id_15_min_candles,company_id,currCandleTime,currClosePrice,prevCandleTIme,prevOpenPrice,company
1276496,9,"2015-08-07 10:00:00",2021.00,"2015-08-07 09:15:00",1944.90,BAJAJFINSV
1278435,9,"2015-02-02 13:45:00",1508.95,"2015-02-02 11:15:00",1449.00,BAJAJFINSV
1278435,9,"2015-02-02 13:45:00",1508.95,"2015-02-02 11:30:00",1442.05,BAJAJFINSV
1278435,9,"2015-02-02 13:45:00",1508.95,"2015-02-02 11:45:00",1452.00,BAJAJFINSV
1278435,9,"2015-02-02 13:45:00",1508.95,"2015-02-02 12:00:00",1452.05,BAJAJFINSV
1278435,9,"2015-02-02 13:45:00",1508.95,"2015-02-02 12:15:00",1458.00,BAJAJFINSV
1278435,9,"2015-02-02 13:45:00",1508.95,"2015-02-02 12:30:00",1464.40,BAJAJFINSV
1279200,9,"2014-10-20 11:15:00",1043.00,"2014-10-20 09:45:00",1016.15,BAJAJFINSV
1279200,9,"2014-10-20 11:15:00",1043.00,"2014-10-20 10:00:00",1011.00,BAJAJFINSV
1279200,9,"2014-10-20 11:15:00",1043.00,"2014-10-20 10:15:00",1013.55,BAJAJFINSV
1279713,9,"2014-11-21 15:15:00",1074.95,"2014-11-21 12:45:00",1047.00,BAJAJFINSV
1279713,9,"2014-11-21 15:15:00",1074.95,"2014-11-21 13:00:00",1045.00,BAJAJFINSV
1279713,9,"2014-11-21 15:15:00",1074.95,"2014-11-21 13:15:00",1043.50,BAJAJFINSV
1279713,9,"2014-11-21 15:15:00",1074.95,"2014-11-21 13:30:00",1044.00,BAJAJFINSV
1279713,9,"2014-11-21 15:15:00",1074.95,"2014-11-21 13:45:00",1047.40,BAJAJFINSV
1279713,9,"2014-11-21 15:15:00",1074.95,"2014-11-21 14:00:00",1044.05,BAJAJFINSV
1279713,9,"2014-11-21 15:15:00",1074.95,"2014-11-21 14:15:00",1047.85,BAJAJFINSV
1280147,9,"2014-12-17 11:15:00",1299.95,"2014-12-17 09:45:00",1261.30,BAJAJFINSV
1280147,9,"2014-12-17 11:15:00",1299.95,"2014-12-17 10:00:00",1252.00,BAJAJFINSV
1280147,9,"2014-12-17 11:15:00",1299.95,"2014-12-17 10:15:00",1232.00,BAJAJFINSV
1280147,9,"2014-12-17 11:15:00",1299.95,"2014-12-17 10:30:00",1243.00,BAJAJFINSV
1285473,10,"2017-01-30 13:45:00",1043.00,"2017-01-30 11:15:00",1010.00,BAJFINANCE
1285473,10,"2017-01-30 13:45:00",1043.00,"2017-01-30 11:30:00",1010.15,BAJFINANCE
1285473,10,"2017-01-30 13:45:00",1043.00,"2017-01-30 11:45:00",1012.60,BAJFINANCE
1285473,10,"2017-01-30 13:45:00",1043.00,"2017-01-30 12:00:00",1012.85,BAJFINANCE
1285473,10,"2017-01-30 13:45:00",1043.00,"2017-01-30 12:15:00",1015.30,BAJFINANCE
1285473,10,"2017-01-30 13:45:00",1043.00,"2017-01-30 12:30:00",1012.25,BAJFINANCE
1285473,10,"2017-01-30 13:45:00",1043.00,"2017-01-30 12:45:00",1012.50,BAJFINANCE
1286645,10,"2016-11-09 13:00:00",911.00,"2016-11-09 10:30:00",877.25,BAJFINANCE
1286645,10,"2016-11-09 13:00:00",911.00,"2016-11-09 10:45:00",878.45,BAJFINANCE
1286645,10,"2016-11-09 13:00:00",911.00,"2016-11-09 11:00:00",886.00,BAJFINANCE
1286645,10,"2016-11-09 13:00:00",911.00,"2016-11-09 12:15:00",885.35,BAJFINANCE
1286645,10,"2016-11-09 13:00:00",911.00,"2016-11-09 12:30:00",887.15,BAJFINANCE
1286927,10,"2016-11-25 14:45:00",872.85,"2016-11-25 12:15:00",837.15,BAJFINANCE
1286927,10,"2016-11-25 14:45:00",872.85,"2016-11-25 12:30:00",836.45,BAJFINANCE
1286927,10,"2016-11-25 14:45:00",872.85,"2016-11-25 12:45:00",835.00,BAJFINANCE
1286927,10,"2016-11-25 14:45:00",872.85,"2016-11-25 13:00:00",839.40,BAJFINANCE
1286927,10,"2016-11-25 14:45:00",872.85,"2016-11-25 13:15:00",841.00,BAJFINANCE
1286927,10,"2016-11-25 14:45:00",872.85,"2016-11-25 13:30:00",846.05,BAJFINANCE
1286927,10,"2016-11-25 14:45:00",872.85,"2016-11-25 13:45:00",846.95,BAJFINANCE
1286927,10,"2016-11-25 14:45:00",872.85,"2016-11-25 14:00:00",845.50,BAJFINANCE
1286927,10,"2016-11-25 14:45:00",872.85,"2016-11-25 14:15:00",846.50,BAJFINANCE
1288279,10,"2016-09-14 15:15:00",1104.00,"2016-09-14 13:00:00",1076.25,BAJFINANCE
1288279,10,"2016-09-14 15:15:00",1104.00,"2016-09-14 13:15:00",1075.05,BAJFINANCE
1288279,10,"2016-09-14 15:15:00",1104.00,"2016-09-14 13:30:00",1073.75,BAJFINANCE
1288279,10,"2016-09-14 15:15:00",1104.00,"2016-09-14 13:45:00",1073.45,BAJFINANCE
1290068,10,"2016-08-01 11:30:00",1126.61,"2016-08-01 09:15:00",1043.00,BAJFINANCE
1291433,10,"2016-05-24 15:15:00",759.20,"2016-05-24 13:45:00",735.52,BAJFINANCE
1292576,10,"2016-03-01 13:30:00",621.71,"2016-03-01 11:45:00",605.49,BAJFINANCE
1295350,10,"2015-10-20 14:45:00",531.61,"2015-10-20 12:15:00",509.00,BAJFINANCE
1295350,10,"2015-10-20 14:45:00",531.61,"2015-10-20 12:30:00",508.62,BAJFINANCE
1295350,10,"2015-10-20 14:45:00",531.61,"2015-10-20 12:45:00",507.90,BAJFINANCE
