companyID,MainCandleTime,MainCandleClose,MinCandleTime,MinCLose,MaxLoss,Name
59,"2016-04-04 10:15:00",12359.30,"2016-04-04 12:45:00",12353.00,6.30,SHREECEM
59,"2016-04-29 15:00:00",12743.95,"2016-04-29 15:15:00",12750.00,-6.05,SHREECEM
59,"2016-01-25 10:15:00",10179.90,"2016-01-25 15:00:00",10000.15,179.75,SHREECEM
59,"2015-11-09 10:00:00",12088.70,"2015-11-09 15:00:00",11800.00,288.70,SHREECEM
59,"2015-08-24 09:45:00",10939.30,"2015-08-24 14:15:00",10860.55,78.75,SHREECEM
59,"2015-08-25 10:00:00",11091.20,"2015-08-25 12:15:00",10536.55,554.65,SHREECEM
59,"2015-09-10 12:30:00",11050.00,"2015-09-10 13:00:00",11032.00,18.00,SHREECEM
59,"2015-10-05 10:00:00",12549.50,"2015-10-05 11:30:00",12488.00,61.50,SHREECEM
59,"2015-10-19 14:30:00",12197.75,"2015-10-19 14:45:00",12198.00,-0.25,SHREECEM
59,"2015-10-19 14:45:00",12198.00,"2015-10-19 15:00:00",12385.45,-187.45,SHREECEM
59,"2015-10-20 11:15:00",12774.55,"2015-10-20 13:45:00",12697.95,76.60,SHREECEM
59,"2015-05-14 09:30:00",11371.20,"2015-05-14 10:30:00",11289.90,81.30,SHREECEM
59,"2015-05-29 14:00:00",11275.00,"2015-05-29 15:15:00",10950.00,325.00,SHREECEM
59,"2015-01-15 11:00:00",9485.00,"2015-01-15 11:15:00",9485.95,-0.95,SHREECEM
59,"2014-11-10 14:45:00",9250.00,"2014-11-10 15:15:00",9222.15,27.85,SHREECEM
60,"2017-11-13 14:00:00",539.25,"2017-11-13 15:00:00",533.20,6.05,SUNPHARMA
60,"2016-11-18 11:45:00",687.55,"2016-11-18 15:15:00",687.00,0.55,SUNPHARMA
60,"2016-11-09 11:15:00",616.00,"2016-11-09 12:15:00",616.70,-0.70,SUNPHARMA
60,"2015-08-25 12:45:00",888.70,"2015-08-25 13:30:00",888.80,-0.10,SUNPHARMA
60,"2015-03-05 15:00:00",1038.45,"2015-03-05 15:15:00",1041.00,-2.55,SUNPHARMA
61,"2017-12-13 11:00:00",918.00,"2017-12-13 11:15:00",916.00,2.00,SUNTV
61,"2016-12-05 12:15:00",465.65,"2016-12-05 12:45:00",465.40,0.25,SUNTV
61,"2017-01-03 11:15:00",519.95,"2017-01-03 11:30:00",518.25,1.70,SUNTV
61,"2016-11-09 13:30:00",508.65,"2016-11-09 14:45:00",500.95,7.70,SUNTV
61,"2016-07-07 15:00:00",382.10,"2016-07-07 15:15:00",381.55,0.55,SUNTV
61,"2016-07-28 13:45:00",447.60,"2016-07-28 14:30:00",444.50,3.10,SUNTV
61,"2016-08-18 12:15:00",475.40,"2016-08-18 12:30:00",476.55,-1.15,SUNTV
61,"2016-05-11 11:15:00",367.35,"2016-05-11 13:15:00",365.75,1.60,SUNTV
61,"2016-01-19 14:00:00",371.85,"2016-01-19 15:15:00",369.20,2.65,SUNTV
61,"2016-01-13 14:30:00",404.80,"2016-01-13 15:15:00",402.80,2.00,SUNTV
61,"2015-08-25 14:15:00",321.30,"2015-08-25 15:00:00",319.30,2.00,SUNTV
61,"2015-09-01 12:15:00",349.75,"2015-09-01 14:15:00",340.50,9.25,SUNTV
61,"2015-09-08 13:30:00",378.95,"2015-09-08 15:00:00",375.35,3.60,SUNTV
61,"2015-09-22 12:00:00",367.80,"2015-09-22 14:30:00",357.35,10.45,SUNTV
61,"2015-09-29 13:30:00",359.10,"2015-09-29 15:15:00",355.50,3.60,SUNTV
61,"2015-07-29 14:00:00",287.20,"2015-07-29 14:15:00",287.20,0.00,SUNTV
61,"2015-08-17 12:45:00",362.90,"2015-08-17 13:45:00",359.75,3.15,SUNTV
61,"2015-05-12 11:30:00",363.50,"2015-05-12 15:15:00",356.15,7.35,SUNTV
61,"2015-06-04 11:30:00",355.00,"2015-06-04 13:30:00",351.20,3.80,SUNTV
61,"2015-02-09 09:30:00",411.65,"2015-02-09 09:45:00",407.90,3.75,SUNTV
61,"2014-12-17 11:30:00",345.90,"2014-12-17 14:15:00",339.00,6.90,SUNTV
62,"2015-09-08 14:15:00",330.20,"2015-09-08 15:00:00",330.55,-0.35,TATAMOTORS
63,"2016-11-09 10:30:00",391.65,"2016-11-09 12:15:00",390.30,1.35,TATASTEEL
63,"2016-11-09 10:45:00",392.40,"2016-11-09 12:15:00",390.30,2.10,TATASTEEL
63,"2016-06-24 14:00:00",312.00,"2016-06-24 15:15:00",311.95,0.05,TATASTEEL
63,"2016-02-05 11:45:00",228.40,"2016-02-05 12:15:00",227.35,1.05,TATASTEEL
63,"2015-06-17 13:15:00",309.95,"2015-06-17 15:15:00",302.85,7.10,TATASTEEL
64,"2018-01-10 14:00:00",2780.00,"2018-01-10 14:15:00",2783.60,-3.60,TCS
64,"2017-05-18 13:00:00",2550.00,"2017-05-18 15:15:00",2530.00,20.00,TCS
64,"2016-12-15 10:30:00",2261.20,"2016-12-15 15:15:00",2256.60,4.60,TCS
65,"2017-12-07 11:30:00",489.40,"2017-12-07 11:45:00",490.10,-0.70,TECHM
65,"2016-11-25 10:00:00",474.25,"2016-11-25 10:15:00",475.00,-0.75,TECHM
65,"2016-11-07 12:15:00",443.35,"2016-11-07 15:15:00",442.50,0.85,TECHM
65,"2016-11-09 11:45:00",433.10,"2016-11-09 12:00:00",427.55,5.55,TECHM
65,"2016-11-09 13:00:00",433.35,"2016-11-09 13:15:00",432.50,0.85,TECHM
65,"2016-05-25 11:30:00",515.00,"2016-05-25 11:45:00",513.60,1.40,TECHM
65,"2016-05-30 10:15:00",556.85,"2016-05-30 15:15:00",542.90,13.95,TECHM
66,"2017-08-04 10:00:00",605.50,"2017-08-04 10:30:00",607.55,-2.05,TITAN
66,"2017-05-29 11:30:00",484.60,"2017-05-29 15:15:00",470.10,14.50,TITAN
66,"2017-02-21 14:15:00",451.60,"2017-02-21 14:30:00",451.60,0.00,TITAN
66,"2016-12-05 14:30:00",319.70,"2016-12-05 15:15:00",324.10,-4.40,TITAN
66,"2015-01-28 14:15:00",432.30,"2015-01-28 15:15:00",430.00,2.30,TITAN
67,"2016-08-05 13:30:00",3831.55,"2016-08-05 15:15:00",3800.00,31.55,ULTRACEMCO
67,"2015-02-03 11:00:00",3140.70,"2015-02-03 12:00:00",3093.55,47.15,ULTRACEMCO
67,"2015-03-02 11:15:00",3248.75,"2015-03-02 11:30:00",3262.65,-13.90,ULTRACEMCO
68,"2016-11-22 15:00:00",605.95,"2016-11-22 15:15:00",611.20,-5.25,UPL
68,"2016-12-23 12:30:00",630.55,"2016-12-23 15:00:00",626.85,3.70,UPL
68,"2016-09-23 11:30:00",704.90,"2016-09-23 14:30:00",690.30,14.60,UPL
68,"2015-08-25 12:45:00",499.60,"2015-08-25 13:15:00",498.00,1.60,UPL
68,"2015-09-11 10:00:00",507.05,"2015-09-11 13:00:00",500.00,7.05,UPL
68,"2015-04-07 14:00:00",470.25,"2015-04-07 14:45:00",472.10,-1.85,UPL
69,"2018-02-01 13:45:00",344.65,"2018-02-01 14:00:00",341.20,3.45,VEDL
69,"2017-04-28 11:45:00",243.65,"2017-04-28 13:30:00",240.65,3.00,VEDL
69,"2016-09-30 14:45:00",172.60,"2016-09-30 15:00:00",172.20,0.40,VEDL
69,"2016-11-09 09:45:00",210.00,"2016-11-09 10:30:00",201.50,8.50,VEDL
69,"2016-11-09 14:15:00",214.35,"2016-11-09 14:30:00",215.25,-0.90,VEDL
69,"2016-06-24 13:30:00",117.20,"2016-06-24 14:30:00",116.45,0.75,VEDL
69,"2016-07-13 11:00:00",168.70,"2016-07-13 15:15:00",162.75,5.95,VEDL
69,"2016-07-22 10:15:00",160.80,"2016-07-22 10:30:00",160.15,0.65,VEDL
